Flex1,Flex2,Flex3,Flex4,Flex5,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Gesture
821,821,882,1023,783,5.19,-2.78,-8.99,-0.32,0.16,-0.02,we are caffinated coders
822,823,883,1023,788,4.83,-2.74,-9.22,-0.01,0.03,0.02,we are caffinated coders
822,823,884,1023,739,5.02,-2.47,-8.66,0.08,-0.09,-0.04,we are caffinated coders
822,822,883,1023,788,4.78,-2.60,-8.45,-0.10,0.05,-0.03,we are caffinated coders
822,822,884,1023,791,5.08,-2.66,-8.68,-0.07,0.03,-0.02,we are caffinated coders
820,822,884,1023,789,5.22,-2.06,-8.11,0.02,-0.01,0.01,we are caffinated coders
821,822,884,1023,804,5.25,-1.87,-7.99,-0.33,0.27,0.15,we are caffinated coders
821,822,884,1023,819,5.29,-2.03,-7.87,0.09,-0.08,-0.06,we are caffinated coders
820,821,884,1023,764,4.92,-1.92,-8.35,-0.05,0.01,-0.02,we are caffinated coders
819,821,884,1023,798,5.43,-1.98,-8.24,0.02,0.06,0.03,we are caffinated coders
820,822,884,1023,798,5.18,-2.02,-8.19,0.01,-0.04,-0.01,we are caffinated coders
819,822,884,1023,811,5.10,-2.13,-8.36,0.02,0.00,-0.00,we are caffinated coders
819,822,883,1023,813,5.37,-1.88,-8.55,-0.01,-0.02,0.00,we are caffinated coders
821,822,884,1023,811,5.25,-1.95,-8.36,-0.01,0.02,-0.01,we are caffinated coders
820,823,884,1023,807,5.70,-2.18,-8.52,-0.11,0.14,0.04,we are caffinated coders
939,862,891,1023,786,-5.41,-7.54,-5.26,-0.01,-0.02,-0.06,help me
938,860,891,1023,776,-5.13,-7.44,-5.11,-0.00,0.04,-0.08,help me
934,860,890,1023,746,-4.54,-7.48,-5.01,-0.02,-0.01,-0.00,help me
933,860,890,1023,802,-4.57,-7.45,-5.05,0.03,-0.06,-0.03,help me
931,859,890,1023,794,-4.72,-7.45,-5.08,-0.05,0.14,0.00,help me
931,858,886,1023,855,-5.14,-7.71,-5.37,-0.01,0.06,0.04,help me
929,859,886,1023,738,-4.84,-7.68,-5.04,0.05,-0.01,-0.00,help me
926,856,886,1022,735,-4.83,-7.65,-5.24,-0.06,0.01,-0.06,help me
925,856,886,1023,795,-4.03,-7.94,-6.20,-0.04,0.07,0.04,help me
925,855,885,1023,771,-4.89,-7.86,-6.50,0.06,0.01,0.02,help me
923,857,886,1023,804,-5.15,-7.58,-5.72,0.03,-0.02,-0.02,help me
922,856,884,1023,848,-4.29,-7.91,-6.32,-0.01,0.04,-0.02,help me
922,857,885,1023,804,-3.65,-8.14,-6.04,-0.03,-0.22,0.38,help me
922,857,885,1023,863,-5.43,-7.54,-5.72,0.06,-0.05,0.01,help me
929,858,885,1023,845,-3.82,-8.04,-7.02,-0.04,-0.03,0.02,help me
929,856,883,1023,805,-3.84,-8.11,-7.00,-0.01,-0.03,0.02,help me
924,854,884,1023,794,-5.47,-7.13,-6.35,0.07,-0.02,0.13,help me
924,856,883,1023,763,-5.07,-7.92,-5.84,-0.04,0.07,0.01,help me
924,856,884,1023,796,-5.16,-7.55,-5.85,0.03,-0.04,-0.02,help me
922,857,884,1023,779,-5.37,-7.66,-5.82,-0.00,-0.02,-0.00,help me
